"Team","Games","Win","Loss","Off.Rank","Off.Plays","Off.Yards","Off.Yards.Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards.Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed"
"Air Force (Mountain West)",6,3,3,73,373,2336,6.26,19,389.3,8,360,1820,5.06,11,12,303.3
"Akron (MAC)",6,1,5,121,360,1687,4.69,12,281.2,110,365,2759,7.56,31,34,459.8
"Alabama (SEC)",11,11,0,5,764,5983,7.83,68,543.9,33,767,3863,5.04,25,25,351.2
"App State (Sun Belt)",12,9,3,26,845,5424,6.42,49,452,18,798,3946,4.94,27,30,328.8
"Arizona (Pac-12)",5,0,5,86,373,1847,4.95,10,369.4,116,351,2365,6.74,25,26,473
"Arizona St. (Pac-12)",4,2,2,20,252,1834,7.28,21,458.5,89,322,1743,5.41,13,13,435.8
"Arkansas (SEC)",10,3,7,67,678,3915,5.77,31,391.5,105,799,4517,5.65,39,43,451.7
"Arkansas St. (Sun Belt)",11,4,7,13,849,5387,6.35,46,489.7,115,821,5171,6.3,51,53,470.1
"Army West Point (FBS Independent)",11,9,2,112,727,3574,4.92,37,324.9,2,592,2982,5.04,18,20,271.1
"Auburn (SEC)",10,6,4,75,685,3850,5.62,26,385,61,708,4009,5.66,31,31,400.9
"Ball St. (MAC)",7,6,1,24,547,3176,5.81,28,453.7,93,511,3092,6.05,25,25,441.7
"Baylor (Big 12)",9,2,7,118,629,2792,4.44,22,310.2,50,625,3451,5.52,32,33,383.4
"Boise St. (Mountain West)",7,5,2,98,451,2443,5.42,25,349,44,497,2613,5.26,23,23,373.3
"Boston College (ACC)",11,6,5,74,751,4245,5.65,34,385.9,73,750,4585,6.11,39,39,416.8
"Bowling Green (MAC)",5,0,5,111,314,1632,5.2,6,326.4,117,356,2379,6.68,28,30,475.8
"Buffalo (MAC)",7,6,1,17,457,3349,7.33,39,478.4,36,483,2513,5.2,18,19,359
"BYU (FBS Independent)",12,11,1,7,799,6266,7.84,68,522.2,13,793,3809,4.8,23,23,317.4
"California (Pac-12)",4,1,3,115,286,1278,4.47,10,319.5,41,258,1468,5.69,14,14,367
"Central Mich. (MAC)",6,3,3,46,433,2522,5.82,23,420.3,83,439,2566,5.85,22,23,427.7
"Charlotte (C-USA)",6,2,4,81,416,2266,5.45,21,377.7,76,384,2517,6.55,25,26,419.5
"Cincinnati (AAC)",9,9,0,19,612,4205,6.87,46,467.2,11,647,2830,4.37,15,16,314.4
"Clemson (ACC)",11,10,1,10,831,5584,6.72,60,507.6,6,709,3283,4.63,19,23,298.5
"Coastal Carolina (Sun Belt)",11,11,0,27,740,4915,6.64,55,446.8,25,699,3748,5.36,24,25,340.7
"Colorado (Pac-12)",5,4,1,45,375,2105,5.61,18,421,45,348,1884,5.41,14,15,376.8
"Colorado St. (Mountain West)",4,1,3,114,272,1294,4.76,10,323.5,35,298,1435,4.82,13,18,358.8
"Duke (ACC)",11,2,9,80,829,4173,5.03,30,379.4,97,783,4893,6.25,53,56,444.8
"East Carolina (AAC)",9,3,6,58,655,3624,5.53,30,402.7,101,648,4026,6.21,40,42,447.3
"Eastern Mich. (MAC)",6,2,4,61,418,2402,5.75,23,400.3,122,460,2941,6.39,26,27,490.2
"FIU (C-USA)",5,0,5,122,306,1404,4.59,13,280.8,79,367,2114,5.76,17,19,422.8
"Fla. Atlantic (C-USA)",9,5,4,113,595,2921,4.91,20,324.6,28,601,3080,5.12,15,17,342.2
"Florida (SEC)",11,8,3,9,756,5597,7.4,56,508.8,63,782,4452,5.69,38,41,404.7
"Florida St. (ACC)",9,3,6,62,644,3570,5.54,29,396.7,106,635,4107,6.47,41,43,456.3
"Fresno St. (Mountain West)",6,3,3,16,464,2876,6.2,26,479.3,84,420,2580,6.14,22,23,430
"Ga. Southern (Sun Belt)",13,8,5,84,814,4826,5.93,38,371.2,15,828,4234,5.11,30,33,325.7
"Georgia (SEC)",9,7,2,44,620,3792,6.12,35,421.3,14,597,2905,4.87,20,21,322.8
"Georgia St. (Sun Belt)",9,5,4,48,664,3759,5.66,35,417.7,81,672,3819,5.68,36,40,424.3
"Georgia Tech (ACC)",10,3,7,72,691,3899,5.64,32,389.9,109,784,4593,5.86,43,46,459.3
"Hawaii (Mountain West)",9,5,4,77,640,3455,5.4,29,383.9,68,645,3679,5.7,29,31,408.8
"Houston (AAC)",8,3,5,54,590,3271,5.54,27,408.9,58,552,3188,5.78,28,33,398.5
"Illinois (Big Ten)",8,2,6,98,521,2792,5.36,19,349,114,572,3753,6.56,35,37,469.1
"Indiana (Big Ten)",7,6,1,95,485,2507,5.17,26,358.1,37,468,2532,5.41,17,18,361.7
"Iowa (Big Ten)",8,6,2,87,544,2949,5.42,27,368.6,10,578,2510,4.34,17,17,313.8
"Iowa St. (Big 12)",11,8,3,31,743,4852,6.53,47,441.1,29,715,3773,5.28,23,29,343
"Kansas (Big 12)",9,0,9,126,637,2333,3.66,16,259.2,108,623,4133,6.63,44,52,459.2
"Kansas St. (Big 12)",10,4,6,106,601,3374,5.61,29,337.4,96,728,4447,6.11,40,42,444.7
"Kent St. (MAC)",4,3,1,1,326,2426,7.44,27,606.5,80,261,1696,6.5,21,21,424
"Kentucky (SEC)",10,4,6,117,611,3118,5.1,24,311.8,53,698,3870,5.54,33,35,387
"Liberty (FBS Independent)",10,9,1,14,720,4835,6.72,48,483.5,7,602,3012,5,25,26,301.2
"Louisiana (Sun Belt)",10,9,1,43,670,4226,6.31,41,422.6,31,730,3478,4.76,27,27,347.8
"Louisiana Tech (C-USA)",10,5,5,116,703,3158,4.49,31,315.8,82,699,4273,6.11,44,45,427.3
"Louisville (ACC)",11,4,7,28,735,4886,6.65,41,444.2,42,704,4060,5.77,34,35,369.1
